Month,net_pnl_perc,max_drawdown_perc,total_trades,win_rate_perc,profit_factor,avg_win_loss_ratio,net_pnl,total_cost
2024-05,7.93,1.0,63,76.19,2.46,0.77,792.69,669.9
2024-06,9.58,1.0,66,80.3,2.95,0.72,957.77,736.8
2024-07,9.18,0.91,63,77.78,2.9,0.83,918.19,617.4
2024-08,18.56,0.95,98,80.61,3.84,0.92,1856.22,826.8
2024-09,16.14,0.95,117,71.79,2.45,0.96,1614.49,857.25
2024-10,18.88,0.83,96,82.29,4.24,0.91,1888.22,847.2
2024-11,14.07,1.3,90,73.33,2.86,1.04,1407.35,561.0
2024-12,18.8,1.07,95,80.0,3.85,0.96,1879.76,686.85
2025-01,13.67,1.47,98,71.43,2.53,1.01,1366.75,652.5
2025-02,12.7,0.92,85,74.12,2.77,0.97,1270.47,629.55
2025-03,11.24,1.22,69,73.91,2.99,1.06,1124.48,385.95
